Titulo_checagem,Afirmacao_original,veredito,Meta AI Veredito 1,Meta AI Veredito 2,Ta Certo Isso Ai Veredito 1,Ta Certo Isso Ai Veredito 2 ,link_para_noticia
É #FAKE que Lula falou 'não vou enganar o povo mais uma vez' como promessa eleitoral; fala de 2020 foi sobre alianças políticas,"Post nas redes afirmou que Lula prometeu que, se fosse eleito novamente, não enganaria o povo 'mais uma vez', insinuando que ele admitiu enganar antes.",fake,Falso | sem link,Não fez checagem,Fora de Contexto,Fora de Contexto,https://g1.globo.com/fato-ou-fake/noticia/2025/12/16/e-fake-que-lula-falou-nao-vou-enganar-o-povo-mais-uma-vez-como-promessa-eleitoral-fala-de-2020-foi-sobre-aliancas-politicas.ghtml
É #FAKE vídeo de mulher sendo levada por ventania; cena foi criada com inteligência artificial,"Vídeo viral mostra uma mulher sendo carregada pelo vento após sair de casa para ver a passagem de um vendaval, sugerindo que a situação aconteceu de verdade.",fake,Falso | sem link,Falso | sem link,Fora de Contexto,Falso,https://g1.globo.com/fato-ou-fake/noticia/2025/12/16/e-fake-video-de-mulher-sendo-levada-por-ventania-cena-foi-criada-com-inteligencia-artificial.ghtml
É #FAKE que ataque terrorista em praia na Austrália tenha sido encenado; foto de homem com sangue falso foi criada com IA,Imagem compartilhada nas redes sugere que o ataque terrorista ocorrido em uma praia australiana foi encenado e usa foto de um homem com sangue falso para provar a encenação.,fake,Falso,Falso,Falso,Falso,https://g1.globo.com/fato-ou-fake/noticia/2025/12/16/e-fake-que-ataque-terrorista-em-praia-na-australia-tenha-sido-encenado-foto-de-homem-com-sangue-falso-foi-criada-com-ia.ghtml
É #FAKE que vídeo mostre Ibama expulsando famílias de suas terras e que território tenha sido vendido para a China,"Postagens alegam que o Ibama estaria expulsando famílias de suas terras porque o governo vendeu o território para a China, usando um vídeo da operação.",fake,Falso,Falso,Falso,Falso,https://g1.globo.com/fato-ou-fake/noticia/2025/12/15/e-fake-que-video-mostre-ibama-expulsando-familias-de-suas-terras-e-que-territorio-tenha-sido-vendido-para-a-china.ghtml
É #FAKE que vídeo mostre casas tremendo durante terremoto de dezembro de 2025 no Japão; cena é de janeiro de 2024,"Circula um vídeo de casas tremendo atribuído ao terremoto de dezembro de 2025 no Japão, insinuando que as imagens mostram os tremores recentes.",fake,Falso,Falso,Verdade,Verdade,https://g1.globo.com/fato-ou-fake/noticia/2025/12/15/e-fake-que-video-mostre-casas-tremendo-durante-terremoto-de-dezembro-de-2025-no-japao-cena-e-de-janeiro-de-2024.ghtml
É #FAKE foto de Trump caminhando com andador; imagem foi criada com inteligência artificial,Foto de Donald Trump usando um andador circula como se mostrasse o ex-presidente caminhando com dificuldade em um evento.,fake,"Falso, mas gerou uma imagem da fake news e não trouxe links","Falso, mas gerou uma imagem da fake news e não trouxe links",Falso,Falso,https://g1.globo.com/fato-ou-fake/noticia/2025/12/14/e-fake-foto-de-trump-caminhando-com-andador-imagem-foi-criada-com-inteligencia-artificial.ghtml
É #FAKE que vídeo de caminhões em chamas mostre reação à suposta greve de caminhoneiros no Brasil; cena ocorreu no Cazaquistão,Vídeo que mostra caminhões em chamas é divulgado como prova de uma reação violenta à greve de caminhoneiros no Brasil.,fake,Falso,Falso,Fora de Contexto,Fora de Contexto,https://g1.globo.com/fato-ou-fake/noticia/2025/12/11/e-fake-que-video-de-caminhoes-em-chamas-mostre-reacao-a-suposta-greve-de-caminhoneiros-no-brasil-cena-ocorreu-no-cazaquistao.ghtml
É #FAKE que vídeo mostre reação emocionada de Luciano Hang à pré-candidatura de Flávio Bolsonaro; cena ocorreu em 2018,"Nas redes, um vídeo mostra o empresário Luciano Hang chorando ao supostamente apoiar a pré-candidatura de Flávio Bolsonaro em 2025.",fake,Falso,Falso,Fora de Contexto,Falsa,https://g1.globo.com/fato-ou-fake/noticia/2025/12/11/e-fake-que-video-mostre-reacao-emocionada-de-luciano-hang-a-pre-candidatura-de-flavio-bolsonaro-cena-ocorreu-em-2018.ghtml
É #FAKE que Banco Central vai criar nota de R$ 9 para homenagear Ronaldo; imagem é montagem,Mensagens afirmam que o Banco Central lançará uma cédula de R$ 9 com a imagem do ex-jogador Ronaldo Fenômeno.,fake,Falso,Falso,Falsa,Falsa,https://g1.globo.com/fato-ou-fake/noticia/2025/12/10/e-fake-que-banco-central-vai-criar-nota-de-r-9-para-homenagear-ronaldo-imagem-e-montagem.ghtml
É #FAKE vídeo que mostra bastidores de 'Harry Potter', 'Titanic' e 'Homem-Aranha'; cenas foram criadas com inteligência artificial","Compilações de bastidores de filmes famosos como 'Harry Potter', 'Titanic' e 'Homem-Aranha' circulam como cenas reais registradas nas filmagens.",fake,Verdade,Não fez checagem,Falsa,Falsa,https://g1.globo.com/fato-ou-fake/noticia/2025/12/10/e-fake-video-que-mostra-bastidores-de-harry-potter-titanic-e-homem-aranha-cenas-foram-criadas-com-inteligencia-artificial.ghtml
É #FAKE que vídeo mostre greve de caminhoneiros no Rodoanel em dezembro de 2025; cena é de 2018,Vídeo que circula nas redes mostra caminhões parados no Rodoanel de São Paulo e é compartilhado como se fosse uma paralisação em dezembro de 2025.,fake,Falso | Sem links,Falso,Falsa,Falsa,https://g1.globo.com/fato-ou-fake/noticia/2025/12/10/e-fake-que-video-mostre-greve-de-caminhoneiros-no-rodoanel-em-dezembro-de-2025-cena-e-de-2018.ghtml
É #FAKE que obra da ponte sobre o rio Araguaia esteja parada; vídeo viral esconde que obra avançou 70% em três anos,Viral no TikTok afirma que a obra da ponte sobre o rio Araguaia está parada e só será concluída no governo atual porque nada foi feito antes.,fake,Falso,Falso,Falsa,Falsa,https://g1.globo.com/fato-ou-fake/noticia/2025/12/09/e-fake-que-obra-da-ponte-sobre-o-rio-araguaia-esteja-parada-video-viral-esconde-que-obra-avancou-70-em-tres-anos.ghtml
